antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'O3_HIGH', 'PM2.5_HIGH'})",frozenset({'PM10_HIGH'}),0.21986079199891878,0.3944451952966617,0.1370117583457224,0.6231750422621792,1.5798773814280842,1.0,0.050288725307630164,1.6069922977996016,0.4704794757903249,0.2870593232337534,0.37771948168683495,0.48526406730206784
frozenset({'PM10_HIGH'}),"frozenset({'O3_HIGH', 'PM2.5_HIGH'})",0.3944451952966617,0.21986079199891878,0.1370117583457224,0.3473530923419565,1.5798773814280842,1.0,0.050288725307630164,1.195346517155089,0.6061210030422279,0.2870593232337534,0.16342250079919202,0.48526406730206784
frozenset({'PM10_HIGH'}),frozenset({'NO2_HIGH'}),0.3944451952966617,0.38106500878497096,0.23310582511150155,0.5909713894123694,1.5508413939571275,1.0,0.08279656330058957,1.5131826361139789,0.5865509329948385,0.4297639070578708,0.3391412403673154,0.6013466629629678
frozenset({'NO2_HIGH'}),frozenset({'PM10_HIGH'}),0.38106500878497096,0.3944451952966617,0.23310582511150155,0.6117219365135662,1.5508413939571273,1.0,0.08279656330058957,1.559590565755709,0.5738708276631455,0.4297639070578708,0.3588060725954416,0.6013466629629678
frozenset({'SO2_HIGH'}),frozenset({'PM2.5_HIGH'}),0.23229490471685363,0.3513988376807677,0.12586160291931342,0.5418181818181819,1.5418895104895105,1.0,0.04423344340264637,1.4155977749030864,0.45778659070977407,0.27490774907749077,0.2935846483168843,0.4499956293706294
frozenset({'PM2.5_HIGH'}),frozenset({'SO2_HIGH'}),0.3513988376807677,0.23229490471685363,0.12586160291931342,0.3581730769230769,1.5418895104895105,1.0,0.04423344340264637,1.1961247926508947,0.5418508609875379,0.27490774907749077,0.16396683176864507,0.4499956293706294
frozenset({'PM10_HIGH'}),frozenset({'PM2.5_HIGH'}),0.3944451952966617,0.3513988376807677,0.20746046763076093,0.5259551139283879,1.4967468799831316,1.0,0.06885288447475058,1.3682273163922511,0.5480665947662454,0.3853395255428644,0.2691272948439554,0.5581698646565016
frozenset({'PM2.5_HIGH'}),frozenset({'PM10_HIGH'}),0.3513988376807677,0.3944451952966617,0.20746046763076093,0.5903846153846154,1.4967468799831314,1.0,0.06885288447475058,1.4783497579612017,0.511692514659338,0.3853395255428644,0.3235700857562257,0.5581698646565016
"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})",frozenset({'O3_HIGH'}),0.20746046763076093,0.4500270306798216,0.1370117583457224,0.6604234527687297,1.4675195215964656,1.0,0.04364894011440383,1.6195846674464731,0.40197119080581983,0.26324331342508445,0.3825577506999646,0.4824378694882015
frozenset({'O3_HIGH'}),"frozenset({'PM10_HIGH', 'PM2.5_HIGH'})",0.4500270306798216,0.20746046763076093,0.1370117583457224,0.3044522862076733,1.4675195215964654,1.0,0.04364894011440383,1.139446678716094,0.5792613043890955,0.26324331342508445,0.12238104803045269,0.4824378694882015
frozenset({'SO2_HIGH'}),frozenset({'NO2_HIGH'}),0.23229490471685363,0.38106500878497096,0.12856467090147317,0.5534545454545454,1.4523887858904705,1.0,0.040045210994841346,1.3860514868414737,0.40572757082268757,0.26519375522720934,0.27852607966332166,0.4454185300423995
frozenset({'NO2_HIGH'}),frozenset({'SO2_HIGH'}),0.38106500878497096,0.23229490471685363,0.12856467090147317,0.33738251463025354,1.4523887858904703,1.0,0.040045210994841346,1.1585946828052087,0.5032501439383276,0.26519375522720934,0.1368853880989826,0.4454185300423995
frozenset({'SO2_HIGH'}),frozenset({'PM10_HIGH'}),0.23229490471685363,0.3944451952966617,0.1325854845249358,0.5707636363636364,1.4470036475773669,1.0,0.040957875467477034,1.4107723762573539,0.402389850628335,0.2683076923076923,0.29116842884824135,0.4534476054012802
frozenset({'PM10_HIGH'}),frozenset({'SO2_HIGH'}),0.3944451952966617,0.23229490471685363,0.1325854845249358,0.33613157443892405,1.4470036475773667,1.0,0.040957875467477034,1.1564115203013483,0.5101383660376296,0.2683076923076923,0.1352559340299457,0.4534476054012802
frozenset({'NO2_HIGH'}),frozenset({'O3_HIGH'}),0.38106500878497096,0.4500270306798216,0.2434112717934856,0.6387657386061358,1.4193941587046472,1.0,0.07192171739400499,1.5224828541956241,0.4773911104329405,0.41418961651239,0.34317815320926437,0.5898235930811293
frozenset({'O3_HIGH'}),frozenset({'NO2_HIGH'}),0.4500270306798216,0.38106500878497096,0.2434112717934856,0.5408814475561228,1.419394158704647,1.0,0.07192171739400499,1.3480940552727672,0.5372519727781903,0.41418961651239,0.2582119948613937,0.5898235930811293
frozenset({'O3_HIGH'}),frozenset({'SO2_HIGH'}),0.4500270306798216,0.23229490471685363,0.1455602108393026,0.32344770628425557,1.3924012094820113,1.0,0.041021224627524874,1.1347313465848659,0.5124182637986998,0.2711821729825003,0.11873413648997966,0.47503294405121865
frozenset({'SO2_HIGH'}),frozenset({'O3_HIGH'}),0.23229490471685363,0.4500270306798216,0.1455602108393026,0.6266181818181817,1.3924012094820113,1.0,0.041021224627524874,1.472950589823228,0.3670891281128224,0.2711821729825003,0.32109060079197066,0.47503294405121865
frozenset({'PM2.5_HIGH'}),frozenset({'O3_HIGH'}),0.3513988376807677,0.4500270306798216,0.21986079199891878,0.6256730769230769,1.3903011025313752,1.0,0.061721816493102294,1.469231667333639,0.43282584773420957,0.3780501975366024,0.31937214379894235,0.557111634189446
frozenset({'O3_HIGH'}),frozenset({'PM2.5_HIGH'}),0.4500270306798216,0.3513988376807677,0.21986079199891878,0.488550191455815,1.3903011025313752,1.0,0.061721816493102294,1.2681619026614583,0.510445719303673,0.3780501975366024,0.21145715077757352,0.557111634189446
frozenset({'PM10_HIGH'}),frozenset({'O3_HIGH'}),0.3944451952966617,0.4500270306798216,0.2379037707798351,0.6031351721774884,1.340219878051276,1.0,0.0603927707745561,1.3857941817059707,0.4192085919002543,0.3922125668449198,0.27839212113810563,0.565889231857946
frozenset({'O3_HIGH'}),frozenset({'PM10_HIGH'}),0.4500270306798216,0.3944451952966617,0.2379037707798351,0.5286432915384037,1.340219878051276,1.0,0.0603927707745561,1.2847060280095193,0.46157500669879925,0.3922125668449198,0.22161180986332976,0.565889231857946
